cve-id,published_date,updated_date,os_name_versions,os_version_specified,Other_Environment_Restrictions,matadonnées_conformitie,patch_availability,lien_vers_le_patch,patch_date,mitigation_measures,Metigation_availability
CVE-2024-48769,2024-10-11T21:15:05.353000+01:00,2024-10-11T21:15:05.353000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement proper access control on the firmware server, such as device ID and user ID verification.', ""Enhance the app's firmware update mechanism to include authentication credentials in the requests.""], 'immediate_containment': ['Restrict access to the firmware update server to only authorized devices.', 'Monitor network traffic for unauthorized access attempts to the firmware server.'], 'enhanced_monitoring': ['Set up alerts for any unusual access patterns to the firmware update endpoints.', 'Regularly review logs for any unauthorized access or anomalies.'], 'long_term_risk_management': ['Conduct regular security assessments of the firmware update process.', 'Establish a security policy that includes regular updates and patches for all software components.'], 'attack_vectors': ['An attacker could exploit the lack of access control to download sensitive firmware before official release.', 'Firmware leakage could lead to the creation of malicious firmware updates.'], 'alternative_solutions': ['Consider using a different firmware update mechanism that includes robust authentication.', 'Implement a temporary block on firmware updates until proper access controls are in place.'], 'security_best_practices': ['Regularly audit your systems and monitor for suspicious activity.', 'Educate users about the risks of unauthorized firmware updates.']}",Yes
CVE-2024-48768,2024-10-11T21:15:05.253000+01:00,2024-10-11T21:15:05.253000+01:00,"Android All versions, iOS All versions",No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement proper access control on the firmware server, such as device ID and user ID verification.', ""Enhance the app's firmware update mechanism to include authentication credentials in the requests.""], 'immediate_containment': ['Restrict access to the firmware update process until proper controls are in place.'], 'monitoring': ['Set up logging and monitoring for firmware update requests to detect any unauthorized access attempts.'], 'long_term_risk_management': ['Regularly review and update security policies related to firmware management and access controls.'], 'attack_vectors': ['An attacker can exploit this vulnerability to download unprotected firmware, analyze it for vulnerabilities, or create modified firmware images.'], 'alternative_solutions': ['Consider using a VPN or secure tunnel for firmware updates to add an additional layer of security.'], 'security_best_practices': ['Conduct regular security audits of the firmware update process and associated infrastructure.', 'Educate users about the risks of unauthorized firmware updates and how to verify legitimate sources.']}",Yes
CVE-2024-47884,2024-10-11T21:15:04.993000+01:00,2024-10-11T21:15:04.993000+01:00,Linux All versions,No,Yes,1,Yes,https://github.com/zefr0x/foxmarks/commit/c3706bd882b3d61b353e4193f7d2dcfabd0c9a8e,2024-10-11,N/A,No
CVE-2024-38365,2024-10-11T21:15:04.733000+01:00,2024-10-11T21:15:04.733000+01:00,N/A,No,Yes,0,Yes,https://github.com/btcsuite/btcd/releases/tag/v0.24.2,2024-06-25,N/A,No
CVE-2024-8912,2024-10-11T20:15:11.110000+01:00,2024-10-11T20:15:11.110000+01:00,"Linux Container-Optimized OS, Windows Windows Server",Yes,Yes,1,Yes,https://download.looker.com/,2024-10-11,N/A,No
CVE-2024-48041,2024-10-11T20:15:10.880000+01:00,2024-10-11T20:15:10.880000+01:00,WordPress All versions compatible with CM Tooltip Glossary plugin <= 4.3.9,Yes,Yes,1,Yes,https://patchstack.com/database/vulnerability/enhanced-tooltipglossary/wordpress-cm-tooltip-glossary-plugin-4-3-9-privilege-escalation-vulnerability?_s_id=cve,2024-10-11,N/A,No
CVE-2024-48040,2024-10-11T20:15:10.660000+01:00,2024-10-11T20:15:10.660000+01:00,N/A,No,Yes,1,Yes,https://patchstack.com/database/vulnerability/tainacan/wordpress-tainacan-plugin-0-21-8-sql-injection-vulnerability?_s_id=cve,2024-10-11,N/A,No
CVE-2024-48033,2024-10-11T20:15:10.430000+01:00,2024-10-11T20:15:10.430000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'immediate_actions': ['Implement virtual patching using Patchstack to block attacks until an official fix is available.', 'Conduct a thorough audit of the Talkback plugin and its configurations.'], 'technical_adjustments': ['Restrict access to the Talkback plugin for unauthenticated users.', 'Review and sanitize all user inputs to prevent object injection.'], 'monitoring_and_response': ['Set up logging and monitoring for unusual activities related to the Talkback plugin.', 'Utilize a Web Application Firewall (WAF) to detect and block potential exploit attempts.'], 'long_term_risk_management': ['Establish a regular update schedule for all plugins and themes.', 'Educate staff on secure coding practices and the risks associated with deserialization vulnerabilities.'], 'attack_vectors': ['Potential for code execution, SQL injection, and denial of service if a proper PHP Object Injection (POP) chain is present.'], 'alternative_solutions': ['Consider disabling the Talkback plugin until a patch is available.', 'Explore alternative plugins that provide similar functionality without the associated risks.'], 'security_best_practices': ['Regularly back up your website and database.', 'Implement least privilege access controls for all users.']}",Yes
CVE-2024-48020,2024-10-11T20:15:10.220000+01:00,2024-10-11T20:15:10.220000+01:00,N/A,No,Yes,1,Yes,https://patchstack.com/database/vulnerability/wp-time-capsule/wordpress-backup-and-staging-by-wp-time-capsule-plugin-1-22-21-sql-injection-vulnerability?_s_id=cve,2024-10-08,N/A,No
CVE-2024-47353,2024-10-11T20:15:10.003000+01:00,2024-10-11T20:15:10.003000+01:00,WordPress All versions compatible with Elementor plugin,Yes,Yes,1,Yes,https://patchstack.com/database/vulnerability/element-ready-lite/wordpress-elementsready-addons-for-elementor-plugin-6-4-2-open-redirection-vulnerability?_s_id=cve,2024-10-11,N/A,No
CVE-2024-47331,2024-10-11T20:15:09.783000+01:00,2024-10-11T20:15:09.783000+01:00,WordPress <= 2.7.7,Yes,Yes,1,Yes,https://patchstack.com/database/vulnerability/cf7-multi-step/wordpress-multi-step-for-contact-form-plugin-2-7-7-unauthenticated-sql-injection-vulnerability?_s_id=cve,2024-09-26,N/A,No
CVE-2024-9539,2024-10-11T19:15:08.887000+01:00,2024-10-11T19:15:08.887000+01:00,"Linux Ubuntu 20.04, Windows Windows Server 2019, macOS macOS 11",Yes,Yes,1,Yes,https://docs.github.com/en/enterprise-server@3.12/admin/release-notes#3.12.10,2024-10-10,N/A,No
CVE-2024-46532,2024-10-11T19:15:08.267000+01:00,2024-10-11T19:15:08.267000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement input validation to sanitize user inputs in the refund function.', 'Use prepared statements or parameterized queries to prevent SQL injection.', 'Deploy a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly audit your application for vulnerabilities and apply security patches promptly.', 'Monitor logs for unusual activity that may indicate an attempted exploit.'], 'technical_adjustments': ['Review and update the PayController.class.php component to ensure secure coding practices.', 'Limit database permissions for the application to reduce the impact of a potential exploit.'], 'immediate_containment': ['Isolate affected systems and restrict access to the application until vulnerabilities are addressed.'], 'long_term_risk_management': ['Establish a regular security training program for developers to enhance awareness of secure coding practices.', 'Implement a vulnerability management program to continuously assess and mitigate risks.'], 'attack_vectors': ['An attacker could exploit the SQL injection vulnerability to execute arbitrary SQL commands, potentially leading to data leakage or unauthorized access.'], 'security_best_practices': ['Keep all software dependencies up to date to minimize vulnerabilities.', 'Conduct regular penetration testing to identify and remediate security weaknesses.']}",Yes
CVE-2024-44807,2024-10-11T19:15:08.133000+01:00,2024-10-11T19:15:08.133000+01:00,N/A,No,Yes,1,Yes,https://burger.d-zero.co.jp/blogs/archives/2,2024-10-10,N/A,No
CVE-2024-44157,2024-10-11T19:15:08.030000+01:00,2024-10-11T19:15:08.030000+01:00,Windows 10,Yes,Yes,1,Yes,https://support.apple.com/en-us/121328,2024-10-11,N/A,No
CVE-2024-9859,2024-10-11T18:15:04.677000+01:00,2024-10-11T18:15:04.677000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement strict input validation to prevent malicious HTML content.', 'Utilize a Web Application Firewall (WAF) to filter and monitor HTTP traffic.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is available.'], 'enhanced_monitoring': ['Set up logging and monitoring for unusual activity related to WebAssembly execution.'], 'long_term_risk_management': ['Regularly update and patch all software components to minimize vulnerabilities.', 'Conduct security training for developers on secure coding practices.'], 'attack_vectors': ['Remote code execution via crafted HTML pages targeting WebAssembly vulnerabilities.'], 'alternative_solutions': ['Consider using alternative browsers that are not affected by this vulnerability until a patch is released.'], 'security_best_practices': ['Regularly audit your systems for vulnerabilities and apply security patches promptly.', 'Implement a robust incident response plan to address potential exploitation of vulnerabilities.']}",Yes
CVE-2024-47877,2024-10-11T18:15:04.450000+01:00,2024-10-11T18:15:04.450000+01:00,N/A,No,Yes,1,Yes,https://github.com/codeclysm/extract/commit/4a98568021b8e289345c7f526ccbd7ed732cf286,2024-10-11,N/A,No
CVE-2024-46215,2024-10-11T18:15:04.260000+01:00,2024-10-11T18:15:04.260000+01:00,Linux All versions,No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement input validation to ensure that input lengths are checked before processing.', 'Use safer string handling functions that limit buffer sizes, such as snprintf instead of strcpy.'], 'immediate_containment': ['Isolate affected systems from the network to prevent exploitation.', 'Disable the /usr/sbin/goahead service until a fix is applied.'], 'enhanced_monitoring': ['Set up logging and monitoring for unusual access patterns to the affected service.', 'Deploy intrusion detection systems to alert on potential exploitation attempts.'], 'long_term_risk_management': ['Regularly update and patch systems to mitigate known vulnerabilities.', 'Conduct security training for developers on secure coding practices.'], 'attack_vectors': ['Exploitation through crafted requests to the vulnerable service, potentially leading to remote code execution.', 'Denial of service through segmentation faults caused by buffer overflow.'], 'alternative_solutions': ['Consider using a different web server that is actively maintained and has a better security track record.', 'Implement a Web Application Firewall (WAF) to filter and monitor HTTP requests.'], 'security_best_practices': ['Regularly audit code for vulnerabilities and apply secure coding standards.', 'Establish a security policy that includes regular vulnerability assessments.']}",Yes
CVE-2024-44734,2024-10-11T18:15:04.157000+01:00,2024-10-11T18:15:04.157000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement strict access controls to ensure only authorized users can change usernames.', 'Validate all incoming requests to the server to ensure they originate from legitimate users.'], 'immediate_containment': ['Monitor WebSocket connections for unusual activity, especially requests attempting to change usernames.', 'Isolate affected systems from the network until a patch is available.'], 'enhanced_monitoring': ['Set up logging for all username change requests to track potential abuse.', 'Use intrusion detection systems to alert on suspicious WebSocket activity.'], 'long_term_risk_management': ['Regularly review and update security policies regarding user authentication and access control.', 'Conduct periodic security audits of the application to identify and remediate vulnerabilities.'], 'attack_vectors': ['An attacker could exploit this vulnerability to impersonate other users by changing their usernames.', 'Potential consequences include loss of user trust and unauthorized access to sensitive information.'], 'alternative_solutions': ['Consider implementing a temporary username change approval process requiring admin intervention.', 'Utilize a CAPTCHA mechanism to prevent automated requests for username changes.'], 'security_best_practices': ['Educate users about the importance of secure usernames and passwords.', 'Encourage the use of multi-factor authentication to enhance account security.']}",Yes
CVE-2024-44731,2024-10-11T18:15:04.080000+01:00,2024-10-11T18:15:04.080000+01:00,N/A,No,Yes,1,Yes,https://github.com/miroslavpejic85/mirotalk,2024-10-11,N/A,No
CVE-2024-44415,2024-10-11T18:15:03.967000+01:00,2024-10-11T18:15:03.967000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement input validation to check the length of strings before using them in functions like strcpy.', 'Use safer string handling functions such as strncpy or strncat to prevent buffer overflows.'], 'immediate_containment': ['Isolate affected systems from the network until a patch or fix is available.', 'Disable the dbsrv.asp function if it is not critical to operations.'], 'enhanced_monitoring': ['Set up logging and monitoring for unusual access patterns to the dbsrv.asp endpoint.', 'Implement intrusion detection systems to alert on potential exploitation attempts.'], 'long_term_risk_management': ['Regularly update and patch systems to mitigate known vulnerabilities.', 'Conduct security training for developers on secure coding practices.'], 'attack_vectors': ['Exploitation through crafted requests to the dbsrv.asp endpoint, potentially leading to remote code execution or denial of service.'], 'alternative_solutions': ['Consider using a Web Application Firewall (WAF) to filter and monitor HTTP requests to the application.', 'Review and harden network security configurations to limit access to the affected service.'], 'security_best_practices': ['Regularly audit code for vulnerabilities and perform penetration testing.', 'Establish a security policy that includes regular updates and incident response planning.']}",Yes
CVE-2024-44414,2024-10-11T18:15:03.880000+01:00,2024-10-11T22:36:31.953000+01:00,WAYOS FBM_292W-21.03.10V,Yes,Yes,1,No,N/A,N/A,"{'technical_adjustments': ['Implement strict input validation on the path parameter to prevent command injection.', 'Use parameterized queries or prepared statements to handle user inputs safely.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is available.', 'Monitor logs for any suspicious activity related to the msp_info.htm file.'], 'enhanced_monitoring': ['Deploy a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Set up alerts for unusual command execution patterns in system logs.'], 'long_term_risk_management': ['Regularly update and patch all software components to mitigate vulnerabilities.', 'Conduct security training for developers on secure coding practices.'], 'attack_vectors': ['Exploitation of the command injection vulnerability through crafted HTTP requests.', 'Potential unauthorized access to system commands and sensitive data.'], 'alternative_solutions': ['Consider using a different firmware version that does not have this vulnerability.', 'Implement network segmentation to limit the impact of potential exploitation.'], 'security_best_practices': ['Regularly conduct security assessments and penetration testing.', 'Maintain an inventory of all software and firmware versions in use.']}",Yes
CVE-2024-44413,2024-10-11T18:15:03.790000+01:00,2024-10-11T18:15:03.790000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Implement input validation to sanitize user inputs and prevent command injection.', 'Use a Web Application Firewall (WAF) to filter and monitor HTTP requests.', 'Regularly audit your systems for vulnerabilities and suspicious activity.', 'Isolate affected systems from the network to prevent further exploitation.', 'Enhance logging and monitoring to detect unusual patterns of behavior.', 'Review and update security policies to include measures against command injection attacks.'], 'technical_adjustments': ['Configure the application to restrict access to sensitive functions based on user roles.', 'Limit the permissions of the web server to reduce the impact of a potential exploit.'], 'long_term_risk_management': ['Conduct regular security training for developers on secure coding practices.', 'Establish a vulnerability management program to address and remediate vulnerabilities promptly.'], 'attack_vectors': ['Manipulation of the path parameter in the upgrade_filter.asp file can lead to command injection.', 'Ensure that all user inputs are properly validated and sanitized to mitigate this risk.'], 'alternative_solutions': ['Consider using a different version of the software that does not have this vulnerability, if available.', 'Implement network segmentation to limit the exposure of vulnerable systems.'], 'security_best_practices': ['Keep all software and dependencies up to date with the latest security patches.', 'Regularly back up data and have a recovery plan in place.']}",Yes
CVE-2024-42018,2024-10-11T18:15:03.573000+01:00,2024-10-11T18:15:03.573000+01:00,Linux All versions,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Ensure that the iptables configuration is included in the bootcmd section of the cloudinit configuration to maintain access control after reboots.', 'Regularly audit the management node configurations to ensure that sensitive parameters are not exposed.', 'Implement strict access controls on management nodes to limit access to authorized users only.', 'Monitor system logs for unauthorized access attempts and unusual activities related to node initialization.', 'Consider using diskless nodes where possible to mitigate the risk associated with this vulnerability.'], 'technical_adjustments': ['Modify the cloudinit configuration to place iptables rules in the bootcmd section.', 'Review and update security policies to enforce stricter access controls on management nodes.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates and fixes are applied.', 'Conduct security training for personnel managing the HPC configurations to raise awareness of potential vulnerabilities.'], 'attack_vectors': ['Unauthorized access to management nodes could lead to exposure of sensitive configuration parameters.', 'Potential for privilege escalation if unprivileged users gain access to management node credentials.'], 'additional_security_best_practices': ['Implement network segmentation to isolate management nodes from untrusted networks.', 'Utilize encryption for sensitive data in transit and at rest to protect against interception.']}",Yes
CVE-2024-9046,2024-10-11T17:15:15+01:00,2024-10-11T17:15:15+01:00,Windows 10,Yes,Yes,1,No,N/A,N/A,"{'recommendations': ['Restrict user permissions to limit access to the affected application.', 'Implement application whitelisting to prevent unauthorized DLLs from being loaded.', 'Regularly update and patch all software to minimize vulnerabilities.', 'Conduct security awareness training for users to recognize potential threats.', 'Monitor system logs for unusual activity related to the affected application.'], 'technical_adjustments': ['Configure the application to run with the least privilege necessary.', 'Disable unnecessary services that may expose the application to attacks.'], 'immediate_containment': ['Isolate affected systems from the network until a patch is available.', 'Perform a thorough investigation to identify any potential exploitation.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates.', 'Review and enhance security policies to address DLL hijacking risks.'], 'attack_vectors': ['Local attackers may exploit the vulnerability by placing malicious DLLs in the application directory.', 'Potential consequences include unauthorized code execution and system compromise.'], 'alternative_solutions': ['Consider using alternative software that does not have known vulnerabilities.', 'Implement network segmentation to limit the impact of potential exploits.'], 'security_best_practices': ['Regularly conduct vulnerability assessments and penetration testing.', 'Utilize endpoint protection solutions to detect and block malicious activities.']}",Yes
CVE-2024-8376,2024-10-11T17:15:14.860000+01:00,2024-10-11T17:15:14.860000+01:00,N/A,No,Yes,1,Yes,https://github.com/eclipse/mosquitto/releases/tag/v2.0.19,2024-10-02,N/A,No
CVE-2024-6985,2024-10-11T17:15:14.657000+01:00,2024-10-11T17:15:14.657000+01:00,N/A,No,Yes,1,Yes,https://github.com/parisneo/lollms/commit/28ee567a9a120967215ff19b96ab7515ce469620,2024-10-11,N/A,No
CVE-2024-5474,2024-10-11T17:15:14.440000+01:00,2024-10-11T17:15:14.440000+01:00,N/A,No,Yes,1,No,N/A,N/A,"{'recommendations': ['Restrict access to the installation process of the Dolby Vision Provisioning software to trusted users only.', 'Implement file system permissions to prevent unauthorized access to sensitive files during installation.', 'Regularly monitor system logs for any unauthorized access attempts or suspicious activities.', 'Educate users about the risks of installing software from untrusted sources and the importance of verifying software integrity.', 'Consider using application whitelisting to control which applications can be installed and executed on the system.'], 'technical_adjustments': ['Configure user account controls to limit the privileges of users during software installations.', 'Review and adjust file permissions for directories where sensitive files are stored.'], 'immediate_containment': ['Isolate affected systems from the network until a patch or fix is available.'], 'long_term_risk_management': ['Establish a regular patch management process to ensure timely updates of all software components.'], 'security_best_practices': ['Conduct regular security assessments and vulnerability scans to identify and remediate potential weaknesses.']}",Yes
