cve-id,published_date,updated_date,os_name_versions,matadonnées_conformitie,patch_availability,date_de_patch
CVE-2016-1010,2016-03-12T15:59:25.090000+00:00,2022-12-14T19:33:15.940000+01:00,"Windows All versions before 18.0.0.333 and 19.x through 21.x before 21.0.0.182, macOS All versions before 18.0.0.333 and 19.x through 21.x before 21.0.0.182, Linux Before 11.2.202.577, SUSE Linux Enterprise SUSE Linux Enterprise Workstation Extension 12-SP1, 12; SUSE Linux Enterprise Desktop 12-SP1, 12, openSUSE openSUSE 13.2 NonFree",1,Yes,2016-03-12
CVE-2016-6277,2016-12-14T16:59:00.350000+00:00,2024-07-16T18:43:58.997000+01:00,Netgear Router Firmware 1.0.0.22,1,Yes,2023-10-03
CVE-2017-0144,2017-03-17T00:59:04.010000+00:00,2024-07-24T17:03:46.547000+01:00,Windows Vista SP2,1,Yes,2024-07-24
CVE-2017-0145,2017-03-17T00:59:04.040000+00:00,2024-07-24T17:22:57.507000+01:00,Windows Vista SP2,1,Yes,2024-07-24
CVE-2017-0199,2017-04-12T15:59:01.157000+01:00,2024-07-24T18:11:35.740000+01:00,Windows Vista SP2,1,Yes,2024-07-24
CVE-2017-0261,2017-05-12T15:29:04.987000+01:00,2024-07-16T18:33:27.907000+01:00,Windows 7,1,Yes,2024-07-16
CVE-2017-5638,2017-03-11T02:59:00.150000+00:00,2024-07-25T14:58:42.913000+01:00,"Linux All, Windows All, macOS All",1,Yes,2017-07-25
CVE-2017-5715,2018-01-04T13:29:00.227000+00:00,2021-08-16T10:15:06.987000+01:00,"SUSE Linux Enterprise Server 12-SP1, SUSE Linux Enterprise Desktop 12-SP2, Ubuntu 12-SP3, Debian 12-LTSS",1,Yes,2021-08-16
CVE-2017-5753,2018-01-04T13:29:00.257000+00:00,2021-11-23T23:14:00.490000+01:00,"SUSE Linux Enterprise Server 12-SP3, SUSE Linux Enterprise Desktop 12-SP3, openSUSE 12.04, Debian 8.0, Ubuntu 14.04, Oracle Solaris 11.3, VMware ESXi 5.5.0",1,Yes,2018-01-04
CVE-2017-5754,2018-01-04T13:29:00.303000+00:00,2021-11-19T19:15:08.547000+01:00,"SUSE Linux Enterprise Server 12-SP3, SUSE Linux Enterprise Desktop 12-SP3, SUSE Linux Enterprise Workstation Extension 12-SP3, SUSE Linux Enterprise Software Development Kit 12-SP3, SUSE Linux Enterprise High Availability 12-SP3, SUSE Container as a Service Platform ALL",1,Yes,2021-11-19
CVE-2017-7269,2017-03-27T03:59:00.453000+01:00,2024-07-25T15:01:24.977000+01:00,Windows Server 2003 R2,1,Yes,2017-03-29
CVE-2017-11882,2017-11-15T03:29:01.890000+00:00,2021-03-16T18:21:45.660000+01:00,Windows 7,1,Yes,2021-03-16
CVE-2018-4878,2018-02-06T21:29:00.347000+00:00,2022-04-18T14:26:17.847000+00:00,"Windows -, Linux -, macOS -, Red Hat Enterprise Linux 6.0",1,No,N/A
CVE-2018-7600,2018-03-29T08:29:00.260000+01:00,2019-03-01T19:04:28.047000+01:00,Debian 7.0,1,No,N/A
CVE-2018-8174,2018-05-09T20:29:02.917000+01:00,2020-08-24T18:37:01.140000+01:00,Windows 7,1,Yes,2020-08-24
CVE-2018-8440,2018-09-13T01:29:04.333000+01:00,2019-10-03T01:03:26.223000+01:00,Windows 7,1,Yes,2018-09-13
CVE-2018-11776,2018-08-22T14:29:00.753000+01:00,2024-07-25T15:48:56.837000+01:00,"Windows 7.3, VMware vSphere 9.5",0,Yes,2024-07-25
CVE-2018-13379,2019-06-04T21:29:00.233000+00:00,2024-07-25T15:09:54.960000+01:00,FortiOS 5.4.6 to 5.4.12,1,Yes,2024-07-25
CVE-2018-15982,2019-01-18T18:29:01.573000+01:00,2019-01-29T20:24:27.440000+01:00,Windows 6.0,1,Yes,2024-09-23
CVE-2018-20250,2019-02-05T21:29:00.243000+01:00,2024-07-24T17:05:24.393000+01:00,Windows 5.61,1,No,N/A
CVE-2018-10561,2018-05-04T04:29:00.227000+01:00,2019-03-04T19:39:11.630000+01:00,N/A,1,No,N/A
CVE-2018-10562,2018-05-04T04:29:00.287000+01:00,2019-10-03T01:03:26.223000+01:00,N/A,1,No,N/A
CVE-2019-0708,2019-05-16T19:29:00.427000+00:00,2024-07-25T15:09:23.880000+01:00,Windows 7 SP1,1,Yes,2024-07-25
CVE-2019-11510,2019-05-08T17:29:00.630000+00:00,2024-07-25T17:20:01.487000+01:00,Linux All versions,1,No,N/A
CVE-2019-11580,2019-06-03T14:29:00.217000+00:00,2022-04-19T15:36:02.413000+00:00,N/A,1,Yes,2022-04-19
CVE-2019-19781,2019-12-27T15:15:12.070000+01:00,2023-01-20T17:21:04.937000+01:00,"Unix 10.5, Linux 11.1",1,No,N/A
CVE-2019-3396,2019-03-25T20:29:01.647000+01:00,2021-12-13T17:05:54.717000+01:00,"Windows All versions, Linux All versions",1,Yes,2021-12-13
CVE-2019-10149,2019-06-05T14:29:11.293000+00:00,2022-11-07T20:12:12.530000+01:00,"Ubuntu 18.04 LTS, Debian 18.10, openSUSE 9.0",1,Yes,2019-06-07
CVE-2019-18935,2019-12-11T14:15:11.767000+01:00,2024-07-25T15:31:11.587000+01:00,Windows All versions,1,Yes,2024-07-25
CVE-2019-15107,2019-08-16T04:15:11.387000+01:00,2023-02-28T16:23:31.427000+01:00,N/A,1,No,N/A
CVE-2019-2725,2019-04-26T20:29:00.463000+01:00,2022-04-27T16:39:17.603000+00:00,"Windows 10, Linux Ubuntu, Unix 11, Solaris 10",1,Yes,2022-04-27
CVE-2019-6340,2019-02-21T22:29:00.343000+01:00,2020-08-24T18:37:01.140000+01:00,N/A,1,Yes,2019-02-22
CVE-2020-0601,2020-01-15T00:15:30.207000+01:00,2022-08-12T19:40:31.113000+01:00,Windows 10,1,Yes,2022-08-12
CVE-2020-0688,2020-02-11T23:15:15.900000+01:00,2024-02-13T18:23:13.330000+01:00,Windows Server 2010 SP3,1,Yes,2024-02-13
CVE-2020-0796,2020-03-12T17:15:15.627000+01:00,2022-04-22T19:02:46.300000+00:00,Windows 10 1903,1,Yes,2022-04-22
CVE-2020-10189,2020-03-06T18:15:12.383000+01:00,2022-10-07T14:42:17.567000+01:00,Windows 10,1,Yes,2020-03-06
CVE-2020-1472,2020-08-17T20:15:15.117000+01:00,2024-05-23T18:56:29.137000+01:00,N/A,1,Yes,2024-05-23
CVE-2020-5902,2020-07-01T16:15:15.360000+01:00,2024-07-25T17:42:50.637000+01:00,"Linux All versions, Windows All versions",1,Yes,2024-07-25
CVE-2020-3452,2020-07-22T21:15:11.970000+01:00,2024-02-21T21:57:31.090000+01:00,"Cisco Adaptive Security Appliance Software 9.6 to <9.6.4.42, Cisco Firepower Threat Defense Software 9.8 to <9.8.4.20",1,No,N/A
CVE-2020-1350,2020-07-15T00:15:13.087000+01:00,2022-07-12T18:42:04.277000+01:00,Windows Server 2008 SP2,1,Yes,2022-07-12
CVE-2020-0796,2020-03-12T17:15:15.627000+01:00,2022-04-22T19:02:46.300000+00:00,Windows 10 1903,1,Yes,2022-04-22
CVE-2020-2555,2020-01-15T18:15:17.347000+01:00,2024-10-02T15:24:50.520000+01:00,N/A,1,No,N/A
CVE-2021-1675,2021-06-09T00:15:08.267000+01:00,2024-07-29T18:57:23.260000+01:00,Windows 10 1507,0,Yes,2024-07-29
CVE-2021-26855,2021-03-03T01:15:12.103000+01:00,2024-02-15T21:18:22.123000+01:00,Windows 2013,1,Yes,2024-02-15
CVE-2021-26857,2021-03-03T01:15:12.167000+01:00,2024-07-25T18:53:21.247000+01:00,Windows Server 2010 SP3,0,Yes,2024-07-25
CVE-2021-26858,2021-03-03T01:15:12.227000+01:00,2024-07-25T18:53:33.987000+01:00,Windows Server 2010 SP3,1,Yes,2024-07-25
CVE-2021-27065,2021-03-03T01:15:12.307000+01:00,2024-07-25T18:34:21.940000+01:00,Windows 2012 R2,1,Yes,2024-07-25
CVE-2021-21985,2021-05-26T16:15:07.937000+01:00,2021-09-14T18:37:24.850000+01:00,"Linux Any, Windows Any",1,Yes,2021-05-25
CVE-2021-28482,2021-04-13T20:15:21.577000+00:00,2023-12-29T02:15:43.337000+01:00,Windows Server 2013,1,Yes,2023-12-29
CVE-2021-34473,2021-07-14T19:15:11.163000+01:00,2024-07-26T20:26:02.790000+01:00,Windows Server 2013,1,Yes,2024-07-26
CVE-2021-34527,2021-07-02T23:15:08.757000+01:00,2024-02-02T18:24:01.260000+01:00,Windows 7 SP1,1,Yes,2024-02-02
CVE-2021-44228,2021-12-10T11:15:09.143000+01:00,2024-07-24T18:08:24.167000+01:00,"Windows 9.0, Linux 34, macOS 20.04",1,Yes,2024-07-24
CVE-2022-0185,2022-02-11T19:15:10.890000+01:00,2024-09-04T02:00:01.057000+01:00,"Linux 5.1 to 5.16, Ubuntu 5.7 or higher",1,Yes,2024-03-07
CVE-2022-0847,2022-03-10T18:44:57.283000+01:00,2024-07-02T18:05:01.307000+01:00,"Linux 5.8 - < 5.10.102, Fedora 35, Red Hat Enterprise Linux 8.0, 8.2, 8.4",1,Yes,2024-07-02
CVE-2022-22965,2022-04-01T23:15:13.870000+00:00,2023-02-09T03:07:02.263000+01:00,"Windows 10, Linux Ubuntu 20.04, macOS 10.15.7",1,Yes,2023-02-09
CVE-2022-26134,2022-06-03T23:15:07.717000+01:00,2024-06-28T15:22:46.883000+01:00,N/A,1,No,N/A
CVE-2022-30190,2022-06-01T21:15:07.983000+01:00,2024-06-28T15:14:37.327000+01:00,Windows 7 SP1,1,Yes,2024-06-28
CVE-2022-26113,2022-07-19T15:15:08.440000+01:00,2022-07-27T13:40:26.787000+01:00,Windows 7.0.0,1,Yes,2022-07-27
CVE-2022-1388,2022-05-05T17:15:10.570000+00:00,2023-11-02T02:54:15.380000+01:00,F5 BIG-IP 11.6.x,1,No,N/A
CVE-2022-40684,2022-10-18T15:15:09.747000+01:00,2024-06-28T14:57:03.760000+01:00,"FortiOS 7.0.0 to 7.0.6, FortiProxy 7.0.0 to 7.0.6, FortiSwitchManager 7.0.0 to 7.0.6",1,Yes,2024-06-28
CVE-2022-20968,2022-12-12T10:15:12.613000+01:00,2024-01-25T18:15:23.477000+01:00,"Cisco IP Phone 7800 Series 9.3(3), Cisco IP Phone 8800 Series 9.3(4)",1,No,N/A
CVE-2022-37969,2022-09-13T20:15:12.323000+01:00,2024-06-28T15:02:20.697000+01:00,Windows 10 1507,1,Yes,2024-06-28
CVE-2023-23397,2023-03-14T18:15:13.263000+01:00,2024-08-14T21:03:22.553000+01:00,Windows 10,1,Yes,2023-03-14
CVE-2023-25136,2023-02-03T07:15:09.350000+01:00,2024-02-27T16:15:14.617000+01:00,"OpenBSD 7.2, Fedora 37, NetApp ONTAP 38, Linux Various",0,Yes,2023-02-27
CVE-2023-27350,2023-04-20T16:15:07.653000+00:00,2024-06-27T20:30:37.747000+01:00,N/A,1,No,N/A
CVE-2023-28252,2023-04-11T21:15:25.137000+00:00,2024-06-27T20:31:41.460000+01:00,"Windows 10 1507, Windows Server 10 1607",1,Yes,2024-06-27
CVE-2023-2868,2023-05-24T20:15:09.363000+01:00,2023-06-01T21:14:55.053000+01:00,Linux 5.1.3.001-9.2.0.006,1,Yes,2023-08-03
CVE-2023-32233,2023-05-08T21:15:20.267000+01:00,2023-09-28T20:07:11.537000+01:00,"Linux 3.13 - 6.3.1, Red Hat Enterprise Linux 7.0, Ubuntu 8.0",1,Yes,2023-05-30
CVE-2023-34362,2023-06-02T15:15:09.487000+01:00,2024-08-14T16:37:26.403000+01:00,N/A,1,No,N/A
CVE-2023-3519,2023-07-19T19:15:11.513000+01:00,2024-06-27T19:53:09.067000+01:00,"Linux 12.1, Unix 13.0",1,No,N/A
CVE-2023-36884,2023-07-11T20:15:09.623000+01:00,2024-06-27T19:59:51.030000+01:00,Windows 10 1507,0,Yes,2023-07-11
CVE-2023-42793,2023-09-19T18:15:08.330000+01:00,2023-10-03T16:44:06.660000+01:00,N/A,1,Yes,2023-09-18
