cve-id,published_date,updated_date,cvss_score,os_name_versions,os_version_specified,Other_Environment_Restrictions,matadonnées_conformitie,patch_availability,lien_vers_le_patch,patch_date,Metigation_availability
CVE-2015-0336,2015-03-13T17:59:04.083000+00:00,2017-07-01T01:29:12.343000+00:00,0.0,"Windows all versions, macOS all versions, Linux 11.2.202.451 and below, openSUSE 13.1, 13.2, SUSE Linux Enterprise Desktop 12, 11 SP3",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb15-05.html,2015-03-13,No
CVE-2015-0359,2015-04-14T23:59:12.680000+01:00,2017-10-07T02:29:00.507000+01:00,0.0,"Windows all versions, Linux before 11.2.202.457, macOS before 13.0.0.281 and 14.x through 17.x before 17.0.0.169",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2015-0359.html,2015-04-15,No
CVE-2015-1635,2015-04-14T21:59:01.263000+01:00,2019-05-14T19:53:21.813000+00:00,0.0,Windows 7 SP1,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-034,2015-04-14,No
CVE-2015-1701,2015-04-21T11:59:00.073000+01:00,2024-07-16T18:34:33.033000+01:00,7.8,Windows 2003 SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-051,2015-04-21,No
CVE-2015-2426,2015-07-20T19:59:01.210000+01:00,2019-05-15T15:23:31.857000+00:00,0.0,Windows Vista SP2,Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-078,2015-07-20,No
CVE-2015-2545,2015-09-09T01:59:52.190000+01:00,2024-07-16T18:39:18.637000+01:00,7.8,"Windows all versions, macOS 2011, 2016",Yes,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-099,2023-01-03,No
CVE-2015-5119,2015-07-08T14:59:05.677000+00:00,2024-07-16T18:24:10.387000+01:00,9.8,"Windows all versions, macOS all versions, Linux 11.x through 11.2.202.468, openSUSE 13.1, 13.2, Evergreen 11.4, Red Hat Enterprise Linux 5.0, 6.0, 6.6",Yes,Yes,1,Yes,http://lists.opensuse.org/opensuse-security-announce/2015-07/msg00015.html,2015-07-08,No
CVE-2015-5122,2015-07-14T10:59:00.213000+00:00,2024-07-02T18:42:40.230000+01:00,9.8,"Windows 13.x through 13.0.0.302, macOS 14.x through 18.0.0.203, Linux 11.x through 11.2.202.481, openSUSE 12, SUSE Linux Enterprise Desktop 11-SP3, SUSE Linux Enterprise Workstation Extension 11-SP4",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2015-5122.html,2015-07-18,No
CVE-2016-0189,2016-05-11T02:59:30.537000+01:00,2024-07-09T19:25:02.227000+01:00,7.5,Windows all versions,No,Yes,1,Yes,https://docs.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-051,2023-01-03,No
CVE-2016-0728,2016-02-08T03:59:10.887000+00:00,2023-02-13T00:15:55.107000+01:00,7.8,"Android 4.0 - 6.0.1, Linux 3.8 - 4.4, Debian 8.0, Ubuntu 12.04 - 15.10",Yes,Yes,1,Yes,http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=23567fd052a9abb6d67fe8e7a9ccdd9800a540f2,2016-01-20,No
CVE-2016-0800,2016-03-01T20:59:00.253000+00:00,2022-12-13T13:15:19.773000+01:00,0.0,"SUSE Linux Enterprise Server 12, SUSE Linux Enterprise Desktop 12, iOS all versions, Linux all versions",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2016-0800.html,2016-03-01,No
CVE-2016-1019,2016-04-07T11:59:01.447000+01:00,2022-11-10T21:10:39.387000+01:00,9.8,"Windows all versions, macOS all versions, openSUSE 13.2, SUSE Linux Enterprise 12-SP1, 12",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2016-1019.html,2016-04-08,No
CVE-2016-2107,2016-05-05T02:59:03.200000+01:00,2024-02-16T20:19:33.320000+01:00,5.9,"Red Hat Enterprise Linux 7.0, openSUSE 6.0, Android 4.0, Debian 8.0, Ubuntu 12.04",Yes,Yes,0,No,N/A,N/A,Yes
CVE-2016-4117,2016-05-11T02:59:46.137000+01:00,2024-07-16T18:34:10.403000+01:00,9.8,"Windows all versions, macOS all versions, Linux all versions, Chrome OS all versions, openSUSE 13.2 NonFree, SUSE Linux Enterprise Desktop 12, SUSE Linux Enterprise Workstation Extension 12-SP1, SUSE Linux Enterprise Server 12",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2016-4117.html,2024-07-16,No
CVE-2016-5195,2016-11-10T21:59:00.197000+00:00,2024-07-24T15:27:14.490000+01:00,7.0,Linux 2.x,Yes,Yes,1,Yes,http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=19be0eaffa3ac7d8eb6784ad9bdbc7d67ed8e619,2016-10-18,No
CVE-2016-7056,2018-09-10T17:29:00.543000+01:00,2023-02-13T00:25:16.890000+01:00,0.0,"Debian 8.0, Red Hat Enterprise Linux 9.0, Ubuntu 6.0",Yes,Yes,1,Yes,https://access.redhat.com/articles/11258,2017-06-07,No
CVE-2016-1010,2016-03-12T15:59:25.090000+00:00,2022-12-14T19:33:15.940000+01:00,8.8,"Windows all versions, macOS all versions, Linux before 11.2.202.577, SUSE Linux Enterprise 12-SP1, 12, openSUSE 13.2 NonFree",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb16-08.html,2016-03-12,No
CVE-2016-6277,2016-12-14T16:59:00.350000+00:00,2024-07-16T18:43:58.997000+01:00,8.8,Netgear Router Firmware all versions,No,Yes,1,Yes,http://kb.netgear.com/000036386/CVE-2016-582384,2023-10-03,No
CVE-2017-0144,2017-03-17T00:59:04.010000+00:00,2024-07-24T17:03:46.547000+01:00,8.8,Windows Vista SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0144,2024-07-24,No
CVE-2017-0145,2017-03-17T00:59:04.040000+00:00,2024-07-24T17:22:57.507000+01:00,8.8,Windows Vista SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0145,2024-07-24,No
CVE-2017-0199,2017-04-12T15:59:01.157000+01:00,2024-07-24T18:11:35.740000+01:00,7.8,Windows Vista SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0199,2024-07-24,No
CVE-2017-0261,2017-05-12T15:29:04.987000+01:00,2024-07-16T18:33:27.907000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-0261,2024-07-16,No
CVE-2017-5638,2017-03-11T02:59:00.150000+00:00,2024-07-25T14:58:42.913000+01:00,9.8,"Linux all versions, Windows all versions, macOS all versions",No,Yes,1,Yes,http://www.oracle.com/technetwork/security-advisory/cpujul2017-3236622.html,2017-07-25,No
CVE-2017-5715,2018-01-04T13:29:00.227000+00:00,2021-08-16T10:15:06.987000+01:00,5.6,"SUSE Linux Enterprise Server 12-SP1, 12-SP2, 12-SP3, 12-LTSS, 12-SP1-LTSS, 12-SP3, 12-SP2, SUSE Linux Enterprise Desktop 12.04, 14.04, 16.04, 17.04, 17.10, 18.04, Ubuntu 7.0, 8.0, 9.0",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2017-5715.html,2021-08-16,No
CVE-2017-5753,2018-01-04T13:29:00.257000+00:00,2021-11-23T23:14:00.490000+01:00,5.6,"SUSE Linux Enterprise Server 12-SP3, SUSE Linux Enterprise Desktop 12-SP3, openSUSE 12.04, Debian 8.0, Ubuntu 14.04, Oracle Solaris 16.04, VMware ESXi 5.5.0",Yes,Yes,1,Yes,http://lists.opensuse.org/opensuse-security-announce/2018-01/msg00006.html,2018-01-04,No
CVE-2017-5754,2018-01-04T13:29:00.303000+00:00,2021-11-19T19:15:08.547000+01:00,0.0,"SUSE Linux Enterprise Server 12-SP3, SUSE Linux Enterprise Desktop 12-SP3, SUSE Linux Enterprise Workstation Extension 12-SP3, SUSE Linux Enterprise Software Development Kit 12-SP3, SUSE Linux Enterprise High Availability 12-SP3, SUSE Container as a Service Platform ALL",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2017-5754.html,2021-11-19,No
CVE-2017-7269,2017-03-27T03:59:00.453000+01:00,2024-07-25T15:01:24.977000+01:00,9.8,Windows Server 2003 R2,Yes,Yes,1,No,N/A,N/A,Yes
CVE-2017-11882,2017-11-15T03:29:01.890000+00:00,2021-03-16T18:21:45.660000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2017-11882,2021-03-16,No
CVE-2018-4878,2018-02-06T21:29:00.347000+00:00,2022-04-18T14:26:17.847000+00:00,9.8,"Windows all versions, Linux all versions, macOS all versions, Red Hat Enterprise Linux 6.0",Yes,Yes,1,No,N/A,N/A,Yes
CVE-2018-7600,2018-03-29T08:29:00.260000+01:00,2019-03-01T19:04:28.047000+01:00,0.0,Debian 7.0,Yes,Yes,1,No,N/A,N/A,Yes
CVE-2018-8174,2018-05-09T20:29:02.917000+01:00,2020-08-24T18:37:01.140000+01:00,0.0,Windows 7,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8174,2020-08-24,No
CVE-2018-8440,2018-09-13T01:29:04.333000+01:00,2019-10-03T01:03:26.223000+01:00,0.0,Windows 7,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8440,2018-09-13,No
CVE-2018-11776,2018-08-22T14:29:00.753000+01:00,2024-07-25T15:48:56.837000+01:00,8.1,"Windows all versions, VMware vSphere all versions, Linux all versions",No,Yes,0,Yes,http://www.oracle.com/technetwork/security-advisory/alert-cve-2018-11776-5072787.html,2024-07-25,No
CVE-2018-13379,2019-06-04T21:29:00.233000+00:00,2024-07-25T15:09:54.960000+01:00,9.8,"FortiOS 5.4.6 to 5.4.12, FortiProxy 1.0.0 to 1.2.8",Yes,Yes,1,Yes,https://fortiguard.com/advisory/FG-IR-18-384,2024-07-25,No
CVE-2018-15982,2019-01-18T18:29:01.573000+01:00,2019-01-29T20:24:27.440000+01:00,0.0,"Windows all versions, Linux all versions, macOS all versions, Red Hat Enterprise Linux 6.0",Yes,Yes,1,Yes,https://helpx.adobe.com/security/products/flash-player/apsb18-42.html,2024-09-23,No
CVE-2018-20250,2019-02-05T21:29:00.243000+01:00,2024-07-24T17:05:24.393000+01:00,7.8,Windows all versions,No,Yes,1,No,N/A,N/A,Yes
CVE-2018-10561,2018-05-04T04:29:00.227000+01:00,2019-03-04T19:39:11.630000+01:00,0.0,GPON Router Firmware all versions,No,Yes,1,No,N/A,N/A,Yes
CVE-2018-10562,2018-05-04T04:29:00.287000+01:00,2019-10-03T01:03:26.223000+01:00,0.0,"Linux all versions, Windows all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2019-0708,2019-05-16T19:29:00.427000+00:00,2024-07-25T15:09:23.880000+01:00,9.8,Windows 7 SP1,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0708,2024-07-25,No
CVE-2019-11510,2019-05-08T17:29:00.630000+00:00,2024-07-25T17:20:01.487000+01:00,10.0,Linux all versions,No,Yes,1,No,N/A,N/A,Yes
CVE-2019-11580,2019-06-03T14:29:00.217000+00:00,2022-04-19T15:36:02.413000+00:00,9.8,"Linux all versions, Windows all versions, macOS all versions",No,Yes,1,Yes,https://www.atlassian.com/software/crowd/download,2022-04-19,No
CVE-2019-19781,2019-12-27T15:15:12.070000+01:00,2023-01-20T17:21:04.937000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2019-3396,2019-03-25T20:29:01.647000+01:00,2021-12-13T17:05:54.717000+01:00,9.8,"Windows all versions, Linux all versions",No,Yes,1,Yes,https://confluence.atlassian.com/doc/confluence-security-advisory-2019-03-20-966660264.html,2021-12-13,No
CVE-2019-10149,2019-06-05T14:29:11.293000+00:00,2022-11-07T20:12:12.530000+01:00,9.8,"Ubuntu 18.04 LTS, Debian 9.0, openSUSE 15.1",Yes,Yes,1,Yes,https://www.suse.com/security/cve/CVE-2019-10149.html,2019-06-07,No
CVE-2019-18935,2019-12-11T14:15:11.767000+01:00,2024-07-25T15:31:11.587000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://www.telerik.com/support/kb/aspnet-ajax/details/allows-javascriptserializer-deserialization,2024-07-25,No
CVE-2019-15107,2019-08-16T04:15:11.387000+01:00,2023-02-28T16:23:31.427000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2019-2725,2019-04-26T20:29:00.463000+01:00,2022-04-27T16:39:17.603000+00:00,9.8,"Windows all versions, Unix all versions, Solaris all versions",No,Yes,1,Yes,http://www.oracle.com/technetwork/security-advisory/alert-cve-2019-2725-5466295.html,2022-04-27,No
CVE-2019-6340,2019-02-21T22:29:00.343000+01:00,2020-08-24T18:37:01.140000+01:00,0.0,"Linux all versions, Windows all versions, macOS all versions",No,Yes,1,Yes,https://www.drupal.org/sa-core-2019-003,2019-02-22,No
CVE-2020-0601,2020-01-15T00:15:30.207000+01:00,2022-08-12T19:40:31.113000+01:00,8.1,Windows 10,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0601,2022-08-12,No
CVE-2020-0688,2020-02-11T23:15:15.900000+01:00,2024-02-13T18:23:13.330000+01:00,8.8,Windows Server 2010 SP3,Yes,Yes,0,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0688,2024-02-13,No
CVE-2020-0796,2020-03-12T17:15:15.627000+01:00,2022-04-22T19:02:46.300000+00:00,10.0,Windows 10 1903,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0796,2022-04-22,No
CVE-2020-10189,2020-03-06T18:15:12.383000+01:00,2022-10-07T14:42:17.567000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://www.manageengine.com/products/desktop-central/remote-code-execution-vulnerability.html,2020-03-06,No
CVE-2020-1472,2020-08-17T20:15:15.117000+01:00,2024-05-23T18:56:29.137000+01:00,5.5,"Windows all versions, openSUSE Leap 15.1, Leap 15.2, Fedora 31, 32, 33, Ubuntu 14.04, 16.04, 18.04, 20.04, Debian 9.0, Oracle 8.8, Synology all versions",Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1472,2024-05-23,No
CVE-2020-5902,2020-07-01T16:15:15.360000+01:00,2024-07-25T17:42:50.637000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2020-3452,2020-07-22T21:15:11.970000+01:00,2024-02-21T21:57:31.090000+01:00,7.5,"Cisco Adaptive Security Appliance Software all versions, Cisco Firepower Threat Defense Software all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2020-1350,2020-07-15T00:15:13.087000+01:00,2022-07-12T18:42:04.277000+01:00,10.0,Windows 2008 SP2,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1350,2022-07-12,No
CVE-2020-0796,2020-03-12T17:15:15.627000+01:00,2022-04-22T19:02:46.300000+00:00,10.0,Windows 10 1903,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0796,2022-04-22,No
CVE-2020-2555,2020-01-15T18:15:17.347000+01:00,2022-10-25T18:58:12.627000+01:00,9.8,"Windows all versions, Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2021-1675,2021-06-09T00:15:08.267000+01:00,2024-07-29T18:57:23.260000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-1675,2024-07-29,No
CVE-2021-26855,2021-03-03T01:15:12.103000+01:00,2024-02-15T21:18:22.123000+01:00,9.1,Windows 2013,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26855,2024-02-15,No
CVE-2021-26857,2021-03-03T01:15:12.167000+01:00,2024-07-25T18:53:21.247000+01:00,7.8,Windows 2010 SP3,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26857,2024-07-25,No
CVE-2021-26858,2021-03-03T01:15:12.227000+01:00,2024-07-25T18:53:33.987000+01:00,7.8,Windows 2010 SP3,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-26858,2024-07-25,No
CVE-2021-27065,2021-03-03T01:15:12.307000+01:00,2024-07-25T18:34:21.940000+01:00,7.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-27065,2024-07-25,No
CVE-2021-21985,2021-05-26T16:15:07.937000+01:00,2021-09-14T18:37:24.850000+01:00,9.8,"Linux all versions, Windows all versions",No,Yes,1,Yes,https://my.vmware.com/en/web/vmware/downloads/info/slug/datacenter_cloud_infrastructure/vmware_vsphere/7_0,2021-05-25,No
CVE-2021-28482,2021-04-13T20:15:21.577000+00:00,2023-12-29T02:15:43.337000+01:00,8.8,Windows 2012,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-28482,2023-12-29,No
CVE-2021-34473,2021-07-14T19:15:11.163000+01:00,2024-07-26T20:26:02.790000+01:00,9.1,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34473,2024-07-26,No
CVE-2021-34527,2021-07-02T23:15:08.757000+01:00,2024-02-02T18:24:01.260000+01:00,8.8,Windows all versions,No,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2021-34527,2024-02-02,No
CVE-2021-44228,2021-12-10T11:15:09.143000+01:00,2024-07-24T18:08:24.167000+01:00,10.0,"Windows all versions, Linux all versions, macOS all versions, Debian 9.0, Fedora 34, Ubuntu 10.0, Cisco all versions, VMware all versions",Yes,Yes,1,Yes,https://logging.apache.org/log4j/2.x/security.html,2024-07-24,No
CVE-2022-0185,2022-02-11T19:15:10.890000+01:00,2024-09-04T02:00:01.057000+01:00,8.4,"Linux 5.1 to 5.16, Ubuntu all versions",Yes,Yes,1,Yes,https://mysupport.netapp.com/site/downloads/firmware/system-firmware-diagnostics/download/SYSTEM/30804160_ontap/BMC_FW_308-04160_13.10P1.zip,2024-03-07,No
CVE-2022-0847,2022-03-10T18:44:57.283000+01:00,2024-07-02T18:05:01.307000+01:00,7.8,"Linux all versions, Fedora 35, Red Hat Enterprise Linux 8.0, 8.2, 8.4, Ubuntu all versions",Yes,Yes,1,No,N/A,N/A,Yes
CVE-2022-22965,2022-04-01T23:15:13.870000+00:00,2023-02-09T03:07:02.263000+01:00,9.8,"Windows all versions, Linux all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2022-26134,2022-06-03T23:15:07.717000+01:00,2024-06-28T15:22:46.883000+01:00,9.8,"Windows all versions, Linux all versions, macOS all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2022-30190,2022-06-01T21:15:07.983000+01:00,2024-06-28T15:14:37.327000+01:00,7.8,Windows 7 SP1,Yes,Yes,1,Yes,https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2022-30190,2024-06-28,No
CVE-2022-26113,2022-07-19T15:15:08.440000+01:00,2022-07-27T13:40:26.787000+01:00,7.1,Windows all versions,No,Yes,1,Yes,https://fortiguard.com/psirt/FG-IR-22-044,2022-07-27,No
CVE-2022-1388,2022-05-05T17:15:10.570000+00:00,2023-11-02T02:54:15.380000+01:00,9.8,"Linux all versions, Unix all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2022-40684,2022-10-18T15:15:09.747000+01:00,2024-06-28T14:57:03.760000+01:00,9.8,"FortiOS 7.0.0 through 7.0.6, FortiProxy 7.0.0 through 7.0.6, FortiSwitchManager 7.0.0",Yes,Yes,1,Yes,https://fortiguard.com/psirt/FG-IR-22-377,2024-06-28,No
CVE-2022-20968,2022-12-12T10:15:12.613000+01:00,2024-01-25T18:15:23.477000+01:00,8.8,Cisco IP Phone 7800 Series all versions,No,Yes,1,No,N/A,N/A,Yes
CVE-2022-37969,2022-09-13T20:15:12.323000+01:00,2024-06-28T15:02:20.697000+01:00,7.8,Windows 7 SP1,Yes,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-37969,2024-06-28,No
CVE-2023-23397,2023-03-14T18:15:13.263000+01:00,2024-08-14T21:03:22.553000+01:00,9.8,Windows all versions,No,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23397,2024-08-14,No
CVE-2023-25136,2023-02-03T07:15:09.350000+01:00,2024-02-27T16:15:14.617000+01:00,6.5,"OpenBSD 7.2, Fedora 37, NetApp ONTAP 38, Linux all versions",Yes,Yes,0,Yes,https://ftp.openbsd.org/pub/OpenBSD/patches/7.2/common/017_sshd.patch.sig,2023-02-27,No
CVE-2023-27350,2023-04-20T16:15:07.653000+00:00,2024-06-27T20:30:37.747000+01:00,9.8,"Windows all versions, Linux all versions, macOS all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2023-28252,2023-04-11T21:15:25.137000+00:00,2024-06-27T20:31:41.460000+01:00,7.8,"Windows 10 (1507, 1607, 1809, 20H2, 21H2, 22H2)",Yes,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28252,2024-06-27,No
CVE-2023-2868,2023-05-24T20:15:09.363000+01:00,2023-06-01T21:14:55.053000+01:00,9.8,Linux all versions,No,Yes,1,Yes,https://status.barracuda.com/incidents/34kx82j5n4q9,2023-08-03,No
CVE-2023-32233,2023-05-08T21:15:20.267000+01:00,2023-09-28T20:07:11.537000+01:00,7.8,"Linux all versions, Ubuntu 20.04 LTS, 18.04 LTS, 22.04 LTS, Red Hat Enterprise Linux 7.0, 8.0, 9.0",Yes,Yes,1,Yes,https://access.redhat.com/errata/RHSA-2023:3349,2023-05-30,No
CVE-2023-34362,2023-06-02T15:15:09.487000+01:00,2024-08-14T16:37:26.403000+01:00,9.8,Windows all versions,No,Yes,1,No,N/A,N/A,Yes
CVE-2023-3519,2023-07-19T19:15:11.513000+01:00,2024-06-27T19:53:09.067000+01:00,9.8,"Unix all versions, Linux all versions",No,Yes,1,No,N/A,N/A,Yes
CVE-2023-36884,2023-07-11T20:15:09.623000+01:00,2024-06-27T19:59:51.030000+01:00,7.5,Windows 10 (all versions affected),Yes,Yes,1,Yes,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36884,2023-07-11,No
CVE-2023-42793,2023-09-19T18:15:08.330000+01:00,2023-10-03T16:44:06.660000+01:00,9.8,"Windows all versions, Linux all versions",No,Yes,1,Yes,https://www.jetbrains.com/teamcity/download/other.html,2023-09-18,No
